ID	DepMap
SNU213	ACH-000266
HDLM2	ACH-000267
SNU245	ACH-000268
AM38	ACH-000269
HPAC	ACH-000270
SUDHL10	ACH-000271
SLR24	ACH-000272
SF539	ACH-000273
HS852T	ACH-000274
HS834T	ACH-000275
EVSAT	ACH-001065
HCC1419	ACH-000277
COV362	ACH-000278
CHLA218	ACH-001030
CHLA258	ACH-001282
SNU840	ACH-000280
KP2	ACH-000281
NCIH1755	ACH-000282
A1207	ACH-000283
HS840T	ACH-000284
TOLEDO	ACH-000285
SNU1033	ACH-000286
BT549	ACH-000288
SNU466	ACH-000289
NCIH209	ACH-000290
OV90	ACH-000291
NCIH841	ACH-000292
KLE	ACH-000293
NB4	ACH-000294
EM2	ACH-000295
OUMS23	ACH-000296
NCIH889	ACH-000297
NCIH2029	ACH-000298
HNT34	ACH-000299
SLR25	ACH-000300
LAMA84	ACH-000301
SNU1077	ACH-000302
SNU5	ACH-000303
WM115	ACH-000304
ECGI10	ACH-000305
HS688AT	ACH-000306
PK1	ACH-000307
EFO21	ACH-000308
SKLU1	ACH-000309
IMR32	ACH-000310
NCIH2122	ACH-000311
SKNBE2	ACH-000312
KMRC3	ACH-000313
HCC2108	ACH-000314
KARPAS422	ACH-000315
SNU886	ACH-000316
TUHR14TKB	ACH-000317
TE10	ACH-000318
MPP89	ACH-000319
PSN1	ACH-000320
MOLM6	ACH-000321
HT144	ACH-000322
42MGBA	ACH-000323
JHOC5	ACH-000324
SNU620	ACH-000325
JURLMK1	ACH-000326
NCIH1395	ACH-000327
LN215	ACH-000328
CCFSTTG1	ACH-000329
EFM19	ACH-000330
ISTMES2	ACH-000331
YAPC	ACH-000332
JHOM2B	ACH-000333
DB	ACH-000334
MSTO211H	ACH-000335
OCIAML3	ACH-000336
NCIH3122	ACH-000337
SR786	ACH-000338
HCC461	ACH-000339
HS870T	ACH-000340
SKNFI	ACH-000341
CL14	ACH-000342
NCIH522	ACH-000343
SNU668	ACH-000344
KPNRTBM1	ACH-000345
OCILY7	ACH-001617
QGP1	ACH-000347
RPMI7951	ACH-000348
MB157	ACH-001120
COLO678	ACH-000350
MKN1	ACH-000351
HCC1428	ACH-000352
TE15	ACH-000353
CAPAN1	ACH-000354
NCIH82	ACH-000355
MKN45	ACH-000356
NCIH69	ACH-000358
MG63	ACH-000359
NCIH508	ACH-000360
SKHEP1	ACH-000361
MOLM13	ACH-000362
SKMM2	ACH-000363
U2OS	ACH-000364
SUDHL4	ACH-000365
