ID	DepMap
127399	ACH-001270
FUJI	ACH-001272
SW982	ACH-001274
SYO1	ACH-001275
YAMATO	ACH-001277
BIN67	ACH-001278
SCCOHT1	ACH-001279
SCS214	ACH-001280
TC106	ACH-001283
TC138	ACH-001430
COGAR359	ACH-001289
Y79	ACH-001295
CHLA15	ACH-001300
COGN278	ACH-001301
COGN305	ACH-001302
NB1643	ACH-001303
8305C	ACH-001306
8505C	ACH-001307
HA1E	ACH-001310
PLCPRF5	ACH-001318
CME1	ACH-001322
A431	ACH-001328
ANGMCSS	ACH-001329
BICR10	ACH-001331
BICR78	ACH-001332
C33A	ACH-001333
C4I	ACH-001334
CASKI	ACH-001336
CHP134	ACH-001338
COLO794	ACH-001339
COV413A	ACH-001340
DOTC24510	ACH-001341
GIMEN	ACH-001344
GP5D	ACH-001345
H103	ACH-001346
HTCC3	ACH-001350
JOPACA1	ACH-001353
LAN2	ACH-001354
LAN6	ACH-001355
MB1	ACH-001356
MDAMB361	ACH-000934
HCC1599	ACH-000196
ME180	ACH-001359
MS751	ACH-001360
NCIH1770	ACH-001362
NCIH2135	ACH-001363
NCIH345	ACH-001364
NCIH847	ACH-001365
NMB	ACH-001367
OACM51	ACH-001368
OCIC5X	ACH-001369
OV17R	ACH-001373
PA1	ACH-001374
PACADD119	ACH-001375
PACADD135	ACH-001376
PACADD137	ACH-001377
PACADD159	ACH-001378
PACADD161	ACH-001379
PACADD165	ACH-001380
PACADD188	ACH-001382
PWR1E	ACH-001383
RO82W1	ACH-001384
RPMI2650	ACH-001385
SCLC22H	ACH-001386
HCC70	ACH-000668
MDAMB134VI	ACH-000044
SUM149PT	ACH-001390
SUM159PT	ACH-001391
BT483	ACH-000818
UACC893	ACH-000554
CAL148	ACH-000902
HCC2218	ACH-000755
HCC2157	ACH-000691
SW156	ACH-001398
SW626	ACH-001399
SW954	ACH-001400
SW13	ACH-001401
SW756	ACH-001402
MDAMB330	ACH-001358
YMB1	ACH-001249
UMUC13	ACH-001407
UMUC14	ACH-001408
UMUC16	ACH-001409
UMUC4	ACH-001410
UMUC5	ACH-001411
UMUC10	ACH-001412
UMUC11	ACH-001413
UMUC6	ACH-001414
UMUC7	ACH-001415
UMUC9	ACH-001416
UMC11	ACH-001417
UWB1289	ACH-001418
SUM185PE	ACH-001392
SUM225CWN	ACH-001397
CCLFPEDS0004T	ACH-001425
TC205	ACH-001431
TC32	ACH-001205
TC71	ACH-000424
CCLFPEDS0008T	ACH-001433
921	ACH-001441
A388	ACH-001442
ASH3	ACH-001443
BLUE1	ACH-001450
BONNA12	ACH-001452
BPH1	ACH-001453
C10	ACH-001454
C125PM	ACH-001456
C75	ACH-001458
C80	ACH-001459
C84	ACH-001460
C99	ACH-001461
CORL32	ACH-001489
CORL321	ACH-001490
EGI1	ACH-001494
ESO26	ACH-001496
ESO51	ACH-001497
FLO1	ACH-001500
SUM102PT	ACH-001388
HEC1	ACH-001517
HEMCSS	ACH-001519
HKA1	ACH-001521
HMY1	ACH-001522
HSC1	ACH-001523
HSC5	ACH-001524
HT3	ACH-001525
HUO9	ACH-001526
IHH4	ACH-001528
JAR	ACH-001529
JEG3	ACH-001530
JMURTK2	ACH-001532
KKU100	ACH-001536
KKU213	ACH-001538
GRANTA519	ACH-000073
KMLS1	ACH-001540
KON	ACH-001542
KYAE1	ACH-001544
LIM1215	ACH-001546
LU135	ACH-001549
MCC13	ACH-001550
MCC142	ACH-001551
MCC26	ACH-001552
MEL202	ACH-001554
MERO14	ACH-001555
MERO25	ACH-001556
MERO41	ACH-001557
MERO48A	ACH-001558
MERO82	ACH-001559
MERO83	ACH-001560
MERO84	ACH-001561
MERO95	ACH-001562
MM127	ACH-001563
MM370	ACH-001566
MM383	ACH-001567
MM386	ACH-001568
MM415	ACH-001569
MM426	ACH-001570
NCCIT	ACH-001578
NCIH1417	ACH-001591
NCIH64	ACH-001599
NH12	ACH-001603
NO10	ACH-001605
NO11	ACH-001606
NOZ	ACH-001607
NP5	ACH-001610
NP8	ACH-001611
CI1	ACH-000687
RI1	ACH-000398
MEC2	ACH-001121
ONDA9	ACH-001624
OSC19	ACH-001625
OSC20	ACH-001626
PEO1	ACH-001630
RCK8	ACH-001638
NALM19	ACH-000130
SAT	ACH-001641
SCC3	ACH-001642
SEKI	ACH-001645
SISO	ACH-001650
SKGT2	ACH-001653
SKGT4	ACH-001654
SKN	ACH-001655
SKNO1	ACH-001656
SUM1315MO2	ACH-001389
MFM223	ACH-001819
RCHACV	ACH-000922
TASK1	ACH-001670
TFK1	ACH-001673
TGW	ACH-001674
MEC1	ACH-000405
MC116	ACH-000583
HT	ACH-000914
U698M	ACH-001680
HCC1008	ACH-001514
JVM3	ACH-000346
VAESBJ	ACH-001702
JM1	ACH-000151
VMRCMELG	ACH-001704
EHEB	ACH-000038
BCP1	ACH-000923
U2904	ACH-001677
PFSK1	ACH-001711
CAL72	ACH-001715
GOTO	ACH-001716
ROS50	ACH-001639
MOLT13	ACH-000795
MOLT16	ACH-000918
RH28	ACH-001740
RMS13	ACH-001741
RC2	ACH-001743
RHJT	ACH-001745
TTC442	ACH-001750
RH36	ACH-001751
RH4	ACH-001765
CCLFPEDS0018T	ACH-001767
TGBC1TKB	ACH-001861
JHC7	ACH-001955
MUGCHOR1	ACH-001956
UMCHOR1	ACH-001957
JURKAT	ACH-000995
MEL285	ACH-002015
OMM1	ACH-002017
SKGIIIA	ACH-002020
SAS	ACH-002029
HMVII	ACH-002040
CA922	ACH-002043
HO1U1	ACH-002045
LU134A	ACH-002051
LU139	ACH-002052
ATN1	ACH-002058
P30OHK	ACH-002059
SLVL	ACH-002062
NOS1	ACH-002067
LU165	ACH-002077
NB69	ACH-002083
HSSYII	ACH-002085
UCH2	ACH-002204
A101D	ACH-000008
COLO849	ACH-001045
EWS834	ACH-001066
HS571T	ACH-001092
TCC466	ACH-001206
UMRC2	ACH-001224
SR	ACH-001665
SW527	ACH-001825
184B5	ACH-001827
201T	ACH-002089
BB65RCC	ACH-002090
CAL39	ACH-002091
CHSA0011	ACH-002092
CHSA0108	ACH-002093
CHSA8926	ACH-002094
CORL303	ACH-002095
CP50MELB	ACH-002096
CP66MEL	ACH-002097
CP67MEL	ACH-002098
CS1	ACH-002099
DJM1	ACH-002100
EMCBAC1	ACH-002101
EMCBAC2	ACH-002102
ES1	ACH-002103
ES3	ACH-002104
ES4	ACH-002105
ES5	ACH-002106
ES6	ACH-002107
ES7	ACH-002108
ES8	ACH-002109
EW1	ACH-002110
EW11	ACH-002111
EW12	ACH-002112
EW13	ACH-002113
EW16	ACH-002114
EW18	ACH-002115
EW22	ACH-002116
EW24	ACH-002117
EW3	ACH-002118
EW7	ACH-002119
GAK	ACH-002120
GMEL	ACH-002121
GT3TKB	ACH-002122
H2369	ACH-002123
NCIH2373	ACH-002124
NCIH2461	ACH-002125
NCIH2591	ACH-002126
NCIH2595	ACH-002127
NCIH2722	ACH-002128
NCIH2731	ACH-002129
NCIH2795	ACH-002130
NCIH2803	ACH-002131
NCIH2804	ACH-002132
NCIH2810	ACH-002133
NCIH2818	ACH-002134
NCIH2869	ACH-002135
H290	ACH-002136
H513	ACH-002138
HA7RCC	ACH-002139
HEY	ACH-002140
HSC39	ACH-002141
HUO3N1	ACH-002142
ISTMEL1	ACH-002143
ISTSL1	ACH-002144
ISTSL2	ACH-002145
JHOS3	ACH-002146
K2	ACH-002147
K5	ACH-002148
KGN	ACH-002149
LB1047RCC	ACH-002150
LB2241RCC	ACH-002151
LB2518MEL	ACH-002152
LB373MELD	ACH-002153
LB647SCLC	ACH-002154
LB996RCC	ACH-002155
LC1SQ	ACH-002156
LC2AD	ACH-002157
LU99A	ACH-002158
M14	ACH-002159
MCIXC	ACH-002160
MKN28	ACH-002161
MMACSF	ACH-002162
MRKNU1	ACH-002163
MZ1PC	ACH-002164
MZ2MEL	ACH-002165
MZ7MEL	ACH-002166
NCC010	ACH-002167
NCC021	ACH-002168
NCIH1304	ACH-002169
NCIH1688	ACH-002170
NCIH250	ACH-002171
NCIH322M	ACH-002172
NCIH378	ACH-002173
NCIH720	ACH-002174
NCIH740	ACH-002175
NCIH748	ACH-002176
NCIH835	ACH-002177
NY	ACH-002178
OCUBM	ACH-002179
OMC1	ACH-002180
OVCA420	ACH-002181
OVCA433	ACH-002182
OVMIU	ACH-002183
PC3JPC3	ACH-002184
PL18	ACH-002185
PL4	ACH-002186
RCCAB	ACH-002187
RCCER	ACH-002188
RCCFG2	ACH-002189
RCCJF	ACH-002190
RCCJW	ACH-002191
RCCMF	ACH-002192
RERFLCFM	ACH-002193
RH1	ACH-002194
RXF393	ACH-002195
SBC1	ACH-002196
SBC3	ACH-002197
SCH	ACH-002198
SN12C	ACH-002199
SW962	ACH-002200
TCYIK	ACH-002201
TMK1	ACH-002202
U031	ACH-002203
WM1552C	ACH-002205
WM278	ACH-002206
WM35	ACH-002207
YMB1E	ACH-002208
ALLPO	ACH-002209
ARH77	ACH-002210
BALL1	ACH-002211
BB30HNC	ACH-002212
BB49HNC	ACH-002213
BC1	ACH-002214
BC3	ACH-002215
BE13	ACH-002216
BE2M17	ACH-002217
CESS	ACH-002218
COLO320HSR	ACH-002219
CROAP2	ACH-002220
CTB1	ACH-002221
CTV1	ACH-002222
D245MG	ACH-002223
D247MG	ACH-002224
D263MG	ACH-002225
D336MG	ACH-002226
D392MG	ACH-002227
D423MG	ACH-002228
D502MG	ACH-002229
D542MG	ACH-002230
D566MG	ACH-002231
DG75	ACH-002232
DIFI	ACH-002233
DOK	ACH-002234
DSH1	ACH-002235
EB3	ACH-002236
ETK1	ACH-002237
GRST	ACH-002238
H3118	ACH-002239
H9	ACH-002240
HAL01	ACH-002241
HC1	ACH-002242
HCE4	ACH-002243
HO1N1	ACH-002244
HS445	ACH-002245
HS633T	ACH-002246
IM9	ACH-002247
IMR5	ACH-002248
JHU011	ACH-002249
JHU022	ACH-002250
JHU029	ACH-002251
JIYOYEP2003	ACH-002252
JSC1	ACH-002253
KARPAS1106P	ACH-002254
KARPAS231	ACH-002255
KARPAS45	ACH-002256
KINGS1	ACH-002257
KMOE2	ACH-002258
KNS81FD	ACH-002259
KOSC2	ACH-002260
KPNYS	ACH-002261
KY821	ACH-002262
KYSE220	ACH-002263
KYSE50	ACH-002264
LB771HNC	ACH-002265
LB831BLC	ACH-002266
LC41	ACH-002267
LN405	ACH-002268
LNZTA3WT4	ACH-002269
MCCAR	ACH-002270
MFHINO	ACH-002271
MHHPREB1	ACH-002272
ML2	ACH-002273
MLMA	ACH-002274
MN60	ACH-002275
MYM12	ACH-002276
NBTU110	ACH-002277
NB10	ACH-002278
NB12	ACH-002279
NB13	ACH-002280
NB14	ACH-002281
NB17	ACH-002282
NB5	ACH-002283
NB6	ACH-002284
NB7	ACH-002285
NCIH128	ACH-002286
NCIH630	ACH-002287
NEC8	ACH-002288
NK92MI	ACH-002289
NKM1	ACH-002290
NTERA2CLD1	ACH-002291
OACP4C	ACH-002292
P32ISH	ACH-002293
PCI15A	ACH-002294
PCI30	ACH-002295
PCI38	ACH-002296
PCI4B	ACH-002297
PCI6A	ACH-002298
QIMRWIL	ACH-002299
RAMOS2G64C10	ACH-002300
RF48	ACH-002301
RPMI8866	ACH-002302
SCI1	ACH-002303
SKMG1	ACH-002304
SKN3	ACH-002305
STS0421	ACH-002306
SUDHL16	ACH-002307
SUPB8	ACH-002308
SW684	ACH-002309
SW872	ACH-002310
TE12	ACH-002311
TGBC24TKB	ACH-002312
TK	ACH-002313
TUR	ACH-002314
SCC90	ACH-002315
WIL2NS	ACH-002316
YT	ACH-002317
184A1	ACH-002319
600MPE	ACH-002320
HBL100	ACH-002321
HCC2185	ACH-002322
HCC2688	ACH-002323
HCC3153	ACH-002324
LY2	ACH-002325
MACLS2	ACH-002326
MCF12A	ACH-002327
MX1	ACH-002328
SKBR5	ACH-002329
SKBR7	ACH-002330
ZR75B	ACH-002331
HCC827GR	ACH-002333
SS1A	ACH-002334
HCET	ACH-002336
JHU028	ACH-002337
M980513	ACH-002338
MOT	ACH-002339
NBSUSSR	ACH-002340
NCIH513	ACH-002341
CAR1	ACH-002345
DIPG007	ACH-002348
GBM001	ACH-002349
M00921	ACH-002386
M1203273	ACH-002387
MET2B	ACH-002388
ACN	ACH-002389
MC1010	ACH-002390
UDSCC2	ACH-002391
SC1	ACH-002392
CROAP3	ACH-002393
GEO	ACH-002394
HUH6CLONE5	ACH-002395
SARC9371	ACH-002396
